id,ball1,ball2,ball3,ball4,team_code,team_name,team_sequence
371,2,4,8,14,TOR,Toronto,33
372,2,4,9,10,SJS,San Jose,22
373,2,4,9,11,VAN,Vancouver,71
374,2,4,9,12,FLA,Florida,23
375,2,4,9,13,WPG,Winnipeg,23
376,2,4,9,14,VAN,Vancouver,72
377,2,4,10,11,TOR,Toronto,34
378,2,4,10,12,CGY,Calgary,40
379,2,4,10,13,WPG,Winnipeg,24
380,2,4,10,14,VAN,Vancouver,73
381,2,4,11,12,VAN,Vancouver,74
382,2,4,11,13,CHI,Chicago,44
383,2,4,11,14,CGY,Calgary,41
384,2,4,12,13,SEA,Seattle,29
385,2,4,12,14,CHI,Chicago,45
386,2,4,13,14,NSH,Nashville,17
387,2,5,6,7,VAN,Vancouver,75
388,2,5,6,8,SEA,Seattle,30
389,2,5,6,9,VAN,Vancouver,76
390,2,5,6,10,CHI,Chicago,46
391,2,5,6,11,CGY,Calgary,42
392,2,5,6,12,WPG,Winnipeg,25
393,2,5,6,13,FLA,Florida,24
394,2,5,6,14,FLA,Florida,25
395,2,5,7,8,SEA,Seattle,31
396,2,5,7,9,NYR,NY Rangers,46
397,2,5,7,10,SJS,San Jose,23
398,2,5,7,11,VAN,Vancouver,77
399,2,5,7,12,SEA,Seattle,32
400,2,5,7,13,STL,St. Louis,11
401,2,5,7,14,SEA,Seattle,33
402,2,5,8,9,SJS,San Jose,24
403,2,5,8,10,STL,St. Louis,12
404,2,5,8,11,CHI,Chicago,47
405,2,5,8,12,SJS,San Jose,25
406,2,5,8,13,TOR,Toronto,35
407,2,5,8,14,SJS,San Jose,26
408,2,5,9,10,FLA,Florida,26
409,2,5,9,11,NYR,NY Rangers,47
410,2,5,9,12,FLA,Florida,27
411,2,5,9,13,FLA,Florida,28
412,2,5,9,14,CHI,Chicago,48
413,2,5,10,11,CHI,Chicago,49
414,2,5,10,12,VAN,Vancouver,78
415,2,5,10,13,NYR,NY Rangers,48
416,2,5,10,14,SJS,San Jose,27
417,2,5,11,12,CGY,Calgary,43
418,2,5,11,13,NJD,New Jersey,7
419,2,5,11,14,VAN,Vancouver,79
420,2,5,12,13,TOR,Toronto,36
421,2,5,12,14,VAN,Vancouver,80
422,2,5,13,14,SJS,San Jose,28
423,2,6,7,8,CHI,Chicago,50
424,2,6,7,9,CGY,Calgary,44
425,2,6,7,10,VAN,Vancouver,81
426,2,6,7,11,CHI,Chicago,51
427,2,6,7,12,CGY,Calgary,45
428,2,6,7,13,SEA,Seattle,34
429,2,6,7,14,CHI,Chicago,52
430,2,6,8,9,NSH,Nashville,18
431,2,6,8,10,NSH,Nashville,19
432,2,6,8,11,VAN,Vancouver,82
433,2,6,8,12,CHI,Chicago,53
434,2,6,8,13,VAN,Vancouver,83
435,2,6,8,14,FLA,Florida,29
436,2,6,9,10,SEA,Seattle,35
437,2,6,9,11,TOR,Toronto,37
438,2,6,9,12,CHI,Chicago,54
439,2,6,9,13,CHI,Chicago,55
440,2,6,9,14,NYR,NY Rangers,49
441,2,6,10,11,VAN,Vancouver,84
442,2,6,10,12,CHI,Chicago,56
443,2,6,10,13,CGY,Calgary,46
444,2,6,10,14,NJD,New Jersey,8
445,2,6,11,12,FLA,Florida,30
446,2,6,11,13,TOR,Toronto,38
447,2,6,11,14,NYR,NY Rangers,50
448,2,6,12,13,TOR,Toronto,39
449,2,6,12,14,WPG,Winnipeg,26
450,2,6,13,14,NYR,NY Rangers,51
451,2,7,8,9,TOR,Toronto,40
452,2,7,8,10,FLA,Florida,31
453,2,7,8,11,WPG,Winnipeg,27
454,2,7,8,12,STL,St. Louis,13
455,2,7,8,13,FLA,Florida,32
456,2,7,8,14,VAN,Vancouver,85
457,2,7,9,10,NJD,New Jersey,9
458,2,7,9,11,NYR,NY Rangers,52
459,2,7,9,12,FLA,Florida,33
460,2,7,9,13,SEA,Seattle,36
461,2,7,9,14,VAN,Vancouver,86
462,2,7,10,11,CGY,Calgary,47
463,2,7,10,12,VAN,Vancouver,87
464,2,7,10,13,SEA,Seattle,37
465,2,7,10,14,SEA,Seattle,38
466,2,7,11,12,TOR,Toronto,41
467,2,7,11,13,VAN,Vancouver,88
468,2,7,11,14,NYR,NY Rangers,53
469,2,7,12,13,CHI,Chicago,57
470,2,7,12,14,NYR,NY Rangers,54
471,2,7,13,14,WPG,Winnipeg,28
472,2,8,9,10,FLA,Florida,34
473,2,8,9,11,TOR,Toronto,42
474,2,8,9,12,TOR,Toronto,43
475,2,8,9,13,VAN,Vancouver,89
476,2,8,9,14,CHI,Chicago,58
477,2,8,10,11,TOR,Toronto,44
478,2,8,10,12,CHI,Chicago,59
479,2,8,10,13,WPG,Winnipeg,29
480,2,8,10,14,CGY,Calgary,48
481,2,8,11,12,TOR,Toronto,45
482,2,8,11,13,SEA,Seattle,39
483,2,8,11,14,CHI,Chicago,60
484,2,8,12,13,TOR,Toronto,46
485,2,8,12,14,CBJ,Columbus,6
486,2,8,13,14,SEA,Seattle,40
487,2,9,10,11,WPG,Winnipeg,30
488,2,9,10,12,WPG,Winnipeg,31
489,2,9,10,13,CHI,Chicago,61
490,2,9,10,14,SEA,Seattle,41
491,2,9,11,12,SJS,San Jose,29
492,2,9,11,13,CHI,Chicago,62
493,2,9,11,14,CGY,Calgary,49
494,2,9,12,13,NYI,NY Islanders,9
495,2,9,12,14,VAN,Vancouver,90
496,2,9,13,14,NYR,NY Rangers,55
497,2,10,11,12,STL,St. Louis,14
498,2,10,11,13,CHI,Chicago,63
499,2,10,11,14,CGY,Calgary,50
500,2,10,12,13,NYR,NY Rangers,56
501,2,10,12,14,CHI,Chicago,64
502,2,10,13,14,CBJ,Columbus,7
503,2,11,12,13,VAN,Vancouver,91
504,2,11,12,14,SJS,San Jose,30
505,2,11,13,14,CHI,Chicago,65
506,2,12,13,14,NYI,NY Islanders,10
507,3,4,5,6,NSH,Nashville,20
508,3,4,5,7,VAN,Vancouver,92
509,3,4,5,8,WPG,Winnipeg,32
510,3,4,5,9,FLA,Florida,35
511,3,4,5,10,TOR,Toronto,47
512,3,4,5,11,VAN,Vancouver,93
513,3,4,5,12,TOR,Toronto,48
514,3,4,5,13,CGY,Calgary,51
515,3,4,5,14,CHI,Chicago,66
516,3,4,6,7,SJS,San Jose,31
517,3,4,6,8,VAN,Vancouver,94
518,3,4,6,9,NYR,NY Rangers,57
519,3,4,6,10,CHI,Chicago,67
520,3,4,6,11,CHI,Chicago,68
521,3,4,6,12,FLA,Florida,36
522,3,4,6,13,STL,St. Louis,15
523,3,4,6,14,WPG,Winnipeg,33
524,3,4,7,8,CGY,Calgary,52
